path_id,level_1,level_2,level_3,hierarchy_path,definition,include_when,exclude_when,required_subject_terms,required_focus_terms,alternative_standalone_cues,supporting_terms_from_old_ontology,prompt_logic_note
V3_047,Methods,Methodological research,Monitoring and sampling methods,Methods > Methodological research > Monitoring and sampling methods,"Development, validation or comparison of monitoring or sampling approaches.",Use only when the method itself is the principal contribution.,Environmental monitoring results belong under Environment if method development is not central.,"Monitoring and sampling methods, Sampling design, monitoring protocol","method development, validation, comparison, sampling design",,"biomarker, detect, monitor, assay, biomonitor, telemetr, real-time, realtime, real time, determin, real-time PCR, real time PCR, biosensor, smart sens, echosounder, machine learning, artificial intelligence, precision biometric, action recognition, behavioural monitor, behavioral monitor, deep learning, satellite, remote sensing, geographical information system, hyperspectral imag, underwater hyperspectral imag, computer vision, video analysis, spectroscopy, neural network, Sampling design, monitoring protocol","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_048,Methods,Methodological research,"Sensors, imaging and measurement methods","Methods > Methodological research > Sensors, imaging and measurement methods","Development or validation of sensors, imaging or measurement systems.",Use only when the measurement method is the main research contribution.,Operational use of sensors belongs under Production.,"Sensors, imaging and measurement methods, Sensor validation, imaging method","method development, validation, comparison, measurement performance",,"Sensor validation, imaging method","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_049,Methods,Methodological research,Statistical and modelling methods,Methods > Methodological research > Statistical and modelling methods,"Development or validation of statistical, computational or modelling methods.",Use only when the method itself is the principal contribution.,Applied models answering substantive questions belong in the substantive domain.,"Statistical and modelling methods, New model, algorithm, statistical-method validation","method development, validation, comparison, algorithm performance",,"model, simulation, predict, Monte Carlo, bootstrap, in silico, in-silico, stochastic convenience, projections, neural network, forecasting, logistic model, simulat, New model, algorithm, statistical-method validation","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_050,Methods,Methodological research,Experimental design methods,Methods > Methodological research > Experimental design methods,"Research on experimental design, trial design or methodological comparison.",Use only when design methodology is the substantive contribution.,Do not use any ordinary experiment.,"Experimental design methods, Trial-design comparison, experimental-method evaluation","method development, validation, comparison, design evaluation",,"Trial-design comparison, experimental-method evaluation","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_051,Methods,Methodological research,Evidence-synthesis and classification methods,Methods > Methodological research > Evidence-synthesis and classification methods,"Methods for systematic reviews, evidence mapping, ontologies, databases or classification systems.",Use only when methodological development is central.,Ordinary reviews of substantive evidence should be coded to their substantive topic.,"Evidence-synthesis and classification methods, Systematic-review methods, ontology development, benchmark dataset","method development, validation, comparison, evidence synthesis, ontology, classification",,"systematic literature survey, this comprehensive review, systematic review, systematically review, systematic map, evidence map, scoping review, literature review, systematic style literature review, systematic literature review, review of the literature, review the literature, this review, we review the, we review evidence, review the evidence base, bibliometric, scientometric, citation network, citation analys, : a review, Systematic-review methods, ontology development, benchmark dataset","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_052,People and society,General social issues,Multiple or general social impacts,People and society > General social issues > Multiple or general social impacts,Broad social issues spanning multiple social topics.,"Use when several social issues are discussed collectively or as a framework, and no single issue is analysed in sufficient depth to justify a specific code.","Do not use alongside every specific labour, livelihood or justice code. Prefer the specific code(s) when these are the substantive focus.",General social issues,"broad review, framework, multiple issues, general assessment, societal impacts, impacts on society",,,Use only where several issues in the domain are substantively addressed and no specific issue dominates.
V3_053,People and society,Labour and employment,Employment and job creation,People and society > Labour and employment > Employment and job creation,"Employment levels, workforce demand or job creation.",Use when jobs or employment are substantive outcomes.,Do not use firms' labour costs without employment questions.,"Employment and job creation, Jobs, workforce, employment",,,"employment, job opportunities, jobs, unemployment, Jobs, workforce, Pay","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_054,People and society,Labour and employment,Working conditions and occupational health,People and society > Labour and employment > Working conditions and occupational health,"Working conditions, safety, injury or worker health.",Use when labour conditions or occupational risk are substantive.,Do not use fish-health or consumer-health outcomes.,"Working conditions and occupational health, Pay, hours, injury, workplace safety",,,"occupational health, occupational safety, human injur, staff injur, occupational injurie, worker safety, employee safety, health and safety, accidents, injury claim, occupational, injury, workplace safety","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_055,People and society,Labour and employment,"Labour rights, exploitation and migration","People and society > Labour and employment > Labour rights, exploitation and migration","Labour rights, exploitation, forced labour, migration or migrant work.",Use when labour justice or migration is substantive.,Do not infer exploitation solely from low wages unless analysed.,"Labour rights, exploitation and migration, Migrant workers, exploitation, labour rights",,,"labour market, labour-market, labour, migrant labour, migrant worker, immigrant, unionis, unioniz, Migrant workers, exploitation, labour rights","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_056,People and society,Communities and livelihoods,Livelihoods and income,People and society > Communities and livelihoods > Livelihoods and income,"Effects on household, fisher or community livelihoods and income.",Use when livelihoods are substantive.,Firm profitability belongs under Industry.,"Livelihoods and income, Fishing livelihoods, household income",,,"household income, Fishing livelihoods","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_057,People and society,Communities and livelihoods,Local and rural development,People and society > Communities and livelihoods > Local and rural development,"Effects on local development, rural economies or community infrastructure.",Use when regional or local social development is substantive.,Sector expansion alone belongs under Industry unless community outcomes are assessed.,"Local and rural development, Rural development, local benefits",,,"rural development, Rural development, local benefits","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_058,People and society,Communities and livelihoods,"Displacement, disruption and wellbeing","People and society > Communities and livelihoods > Displacement, disruption and wellbeing","Displacement, loss of access, social disruption, wellbeing or quality of life.",Use when community harms or wellbeing are substantive.,Do not use ordinary stakeholder disagreement without social outcomes.,"Displacement, disruption and wellbeing, Displacement, disruption, wellbeing",,,"dispossess, human wellbeing, poverty, Displacement, disruption, wellbeing","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_059,People and society,Communities and livelihoods,Conflict and social licence,People and society > Communities and livelihoods > Conflict and social licence,"Conflict, opposition, acceptance or social licence.",Use when contested legitimacy or acceptance is substantive.,Do not use consumer preferences.,"Conflict and social licence, Social licence, opposition, conflict",,,"social conflict, local opposition, Social licence, opposition, conflict, public comment, protest, social acceptability","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_060,People and society,"Equity, justice and rights",Distribution of benefits and harms,"People and society > Equity, justice and rights > Distribution of benefits and harms","Unequal distribution of benefits, costs, risks or harms.",Use when distributional equity is analysed.,Do not infer inequality from simple group differences unless substantively discussed.,"Distribution of benefits and harms, Winners and losers, inequality",,,"Winners and losers, inequality, inequity","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_061,People and society,"Equity, justice and rights",Environmental justice and human rights,"People and society > Equity, justice and rights > Environmental justice and human rights","Environmental justice, procedural justice or human-rights questions.",Use when justice or rights are explicit or substantive.,Do not use general environmental impacts without justice analysis.,"Environmental justice and human rights, Environmental justice, human rights",,,"Environmental justice, human rights, rightsholder","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_062,People and society,"Equity, justice and rights",Indigenous peoples and rights,"People and society > Equity, justice and rights > Indigenous peoples and rights","Impacts, governance or rights concerning Indigenous peoples.","Use when Indigenous communities, knowledge or rights are substantive.",Do not use regional studies merely located in Indigenous territories without substantive engagement.,"Indigenous peoples and rights, Sámi, First Nations, Indigenous rights",,,"Indigenous, first nation, aboriginal, Sámi, First Nations, Indigenous rights","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_063,People and society,Food security and access,Food availability and nutritional security,People and society > Food security and access > Food availability and nutritional security,"Effects on food availability, nutrition security or protein supply.",Use when food-system outcomes are substantive.,Human physiological effects of eating salmon belong under Product.,"Food availability and nutritional security, Food supply, nutrition security",,,"food security, Food supply, nutrition security","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_064,People and society,Food security and access,Affordability and access,People and society > Food security and access > Affordability and access,"Affordability, accessibility or barriers to obtaining food.",Use when access or affordability is substantive.,Market prices alone belong under Industry.,"Affordability and access, Affordability, food access",,,"Affordability, food access","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_065,People and society,Food security and access,Competition with other food uses,People and society > Food security and access > Competition with other food uses,Competition between salmon-feed use and direct human food uses.,Use when diversion of edible resources or food-feed competition is substantive.,Do not use general marine-resource footprints without a food-use question.,"Competition with other food uses, Fishmeal food-feed competition, edible-fish diversion",,,"Fishmeal food-feed competition, edible-fish diversion","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_066,People and society,Culture and knowledge,"Culture, identity and traditions","People and society > Culture and knowledge > Culture, identity and traditions","Cultural meanings, identity, heritage or consumption traditions.",Use when cultural relationships are substantive.,Do not use ordinary consumer preference studies.,"Culture, identity and traditions, Food culture, identity, tradition",,,"Food culture, identity, tradition","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_067,People and society,Culture and knowledge,Local and Indigenous knowledge,People and society > Culture and knowledge > Local and Indigenous knowledge,"Local, experiential or Indigenous knowledge systems.",Use when these knowledge systems are substantive.,Do not use stakeholder opinion merely because interviews were conducted.,"Local and Indigenous knowledge, Traditional ecological knowledge, local knowledge",,,"Traditional ecological knowledge, local knowledge, indigenous knowledge","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_068,People and society,Culture and knowledge,Public discourse and representation,People and society > Culture and knowledge > Public discourse and representation,"Media, framing, discourse or public representation of salmon aquaculture.",Use when communication or discourse is substantive.,Do not use marketing research focused on sales.,"Public discourse and representation, Media framing, public narratives",,,"opinions, controversy, dispute, campaigning, popularity, activist, activism, public discourse, reputation, public image, collective action, social mobilisation, social mobilization, public dissent, public opinion, stakeholder opinion, perceptions, stakeholder view, public perception, Media framing, public narratives","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_069,People and society,Public health,Antimicrobial resistance and One Health,People and society > Public health > Antimicrobial resistance and One Health,Antimicrobial resistance or One Health relationships involving salmon aquaculture.,Use when cross-sectoral public-health implications are substantive.,Fish disease alone belongs under Production.,"Antimicrobial resistance and One Health, AMR, resistance genes, One Health",,,"antibiotic resistance, resistant to antibiotic, resistance to antibiotic, antibiotic-resistan, antibiotic resistan, erythromycin resistan, amoxicillin resistan, doxycycline resistan, ampicillin resistan, difloxacin resistan, resistant to amoxicillin, resistant to doxycycline, resistant to ampicillin, resistant to difloxacin, resistant to erythromycin, resistance to amoxicillin, resistance to doxycycline, resistance to ampicillin, resistance to difloxacin, resistance to erythromycin, fluoroquinolone resistan, resistant to fluoroquinolone, resistance to fluoroquinolone, flumequine resistan, resistance to flumequine, resistant to flumequine, oxytetracycline resistan, resistant to oxytetracycline, resistance to oxytetracycline, antimicrobial resistance, antibiotic resist, antibiotic-resistant, antibiotic resistant, AMR, resistance genes, One Health","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_070,People and society,Public health,Health impacts of aquaculture,People and society > Public health > Health impacts of aquaculture,"Health effects on people or populations caused by salmon farming activities, excluding health effects arising from consumption of the salmon product.","Use when farming operations, emissions, exposures or community-level effects create a substantive human-health question.",Food-product safety and health effects of consuming salmon belong under Product; occupational health remains under Labour and employment.,"Health impacts of aquaculture, Community exposure, pollution-related health effects, population health around farms",,,"public health, human health, human health risk, human health benefit, Community exposure, pollution-related health effects, population health around farms","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_071,Product,General product issues,Multiple or general product attributes,Product > General product issues > Multiple or general product attributes,Broad discussion of multiple product attributes without emphasis on a single attribute.,"Use when product quality, safety, nutrition or consumer attributes are discussed collectively.",Do not use when one product attribute is the substantive focus (e.g. food safety or fillet quality).,General product issues,"broad review, framework, multiple issues, general assessment",,"fillet, flesh, meat, smoked salmon, General product overviews, product standards",Use only where several issues in the domain are substantively addressed and no specific issue dominates.
V3_072,Product,Composition and nutritional value,Nutritional composition,Product > Composition and nutritional value > Nutritional composition,Nutrient composition of harvested salmon products.,"Use when fatty acids, proteins, vitamins, minerals or proximate composition are substantive outcomes.",Do not use fish metabolism unless linked to food-product composition.,"Nutritional composition, Omega-3, protein, vitamins, minerals, proximate composition",,,"protein content, fatty acid profile, fatty acid composition, vitamin E, nutritional value, fat content, saturated fatty acids, omega-3, lipid content, lipid level, nutritional quality, dietary protein, cholesterol content, Omega-3, protein, vitamins, minerals, proximate composition","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_073,Product,Composition and nutritional value,Contaminants and residues,Product > Composition and nutritional value > Contaminants and residues,Chemical contaminants or residues in harvested products.,Use when contaminant levels in edible product are substantive.,Do not use environmental contamination without product analysis.,"Contaminants and residues, PCBs, dioxins, metals, medicine residues",,,"arsenic, mercury, tributyltin, organotins, copper, polybrominated diphenyl ether, trace metal, selenium, radionuclide, radiocaesium, polychlorinated biphenyl, carcinogen, heavy metal, organochlorine residue, contaminant, metal residue, contamination, fumonisin, mycotoxig, Fusarium mycotoxin, deoxynivalenol, mycotoxin, resveratrol, aflatoxins, toxaphene, methylmercury, enniatin, beauvericin, PCBs, dioxins, metals, medicine residues","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_074,Product,Fillet and carcass quality,Physical and visual quality,Product > Fillet and carcass quality > Physical and visual quality,Physical or visual quality of fillets or carcasses.,"Use for colour, texture, firmness, gaping, defects or water-holding capacity.",Do not split into separate subcodes for each property.,"Physical and visual quality, Colour, texture, firmness, gaping, melanin spots",,,"firmness, gaping, soft flesh, Colour, texture, melanin spots","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_075,Product,Fillet and carcass quality,Yield and body composition,Product > Fillet and carcass quality > Yield and body composition,Yield of edible product or carcass composition.,"Use when fillet yield, dressing percentage or harvest composition is substantive.",Do not use general growth without product-yield outcomes.,"Yield and body composition, Fillet yield, carcass yield, body composition",,,"Fillet yield, carcass yield, body composition","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_076,Product,Sensory quality,Sensory properties,Product > Sensory quality > Sensory properties,"Taste, flavour, odour, aroma, mouthfeel or sensory acceptability.",Use for trained or consumer sensory panels.,Consumer purchasing preferences belong under People and society.,"Sensory properties, Taste, aroma, flavour, mouthfeel, acceptability",,,"flavor, flavour, palatable, palatabil, taste, sensory characteristic, human consumption, texture, fillet color, fillet colour, geosmin, off-flavour, off-flavor, off flavour, off flavor, muddy flavour, muddy flavor, fillet pigment, fillet qualit, meat qualit, quality of meat, quality of fillet, sensory profile, myoliquefaction, sensorial quality, black spot, melanis, melaniz, odorous, odourant, odorant, 2-methylisoborneol, sensory qualit, melanized focal changes, Taste, aroma, mouthfeel, acceptability","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_077,Product,Processing and preservation,Primary processing,Product > Processing and preservation > Primary processing,"Post-harvest processing such as filleting, trimming or portioning.",Use when processing technology or performance is substantive.,Do not use harvest or slaughter operations.,"Primary processing, Filleting, trimming, processing yield",,,"Filleting, trimming, processing yield","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_078,Product,Processing and preservation,"Smoking, curing and value addition","Product > Processing and preservation > Smoking, curing and value addition","Smoking, curing or other value-adding processing.",Use when these processes are substantive.,Do not use merely because the product was smoked.,"Smoking, curing and value addition, Smoking, salting, curing",,,"Smoking, salting, curing","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_079,Product,Processing and preservation,"Storage, packaging and shelf life","Product > Processing and preservation > Storage, packaging and shelf life","Preservation, packaging, storage stability or shelf life.",Use when post-harvest stability or spoilage is substantive.,Do not use live-fish storage or transport.,"Storage, packaging and shelf life, Freezing, chilling, modified atmosphere, shelf life",,,"rancid, freshness, Freezing, chilling, modified atmosphere, shelf life","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_080,Product,Food safety,Microbial food safety,Product > Food safety > Microbial food safety,Foodborne pathogens or microbiological safety of salmon products.,Use when human food safety is a substantive objective.,Do not use fish disease unless it creates a food-product hazard.,"Microbial food safety, Listeria, foodborne pathogens, microbial contamination",,,"Listeria monocytogenes, listeria, Listeria, foodborne pathogens, microbial contamination","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_081,Product,Food safety,Chemical food safety,Product > Food safety > Chemical food safety,"Chemical hazards, residues or risk assessment relating to consumption.",Use when the question is safety of the edible product.,Environmental release or fish toxicity belong elsewhere.,"Chemical food safety, Residues, contaminants, dietary exposure",,,"arsenic, mercury, tributyltin, organotins, copper, polybrominated diphenyl ether, trace metal, selenium, radionuclide, radiocaesium, polychlorinated biphenyl, carcinogen, heavy metal, organochlorine residue, contaminant, metal residue, dioxin, chlorinated pesticide, pesticide, contaminat, polychlorinated dioxin, PCB, Residues, contaminants, dietary exposure","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_082,Product,Human nutrition and health,Nutritional benefits and risks,Product > Human nutrition and health > Nutritional benefits and risks,Human dietary benefits or risks of consuming salmon.,Use when human nutrition or health is substantively assessed.,Food access and affordability belong under People and society.,"Nutritional benefits and risks, Omega-3 benefits, dietary risk-benefit",,,"Omega-3 benefits, dietary risk-benefit","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_083,Product,Human nutrition and health,Human physiological outcomes,Product > Human nutrition and health > Human physiological outcomes,Measured human health or physiological outcomes associated with salmon consumption.,"Use for clinical, metabolic or biomarker outcomes in humans.",Do not use only product-composition studies.,"Human physiological outcomes, Cardiovascular outcomes, obesity, biomarkers",,,"Cardiovascular outcomes, obesity, biomarkers","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_084,Product,Consumers and consumption,Consumption patterns,Product > Consumers and consumption > Consumption patterns,Patterns or frequency of salmon consumption.,Use when consumption behaviour is substantive.,Do not use sensory testing alone.,"Consumption patterns, Consumption frequency, dietary patterns",,,"Consumption frequency, dietary patterns","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_085,Product,Consumers and consumption,"Preferences, choice and willingness to pay","Product > Consumers and consumption > Preferences, choice and willingness to pay","Consumer preferences, purchasing choices or willingness to pay.",Use when behavioural choice is substantive.,Product quality measurements without consumer choice belong under Product.,"Preferences, choice and willingness to pay, Preferences, purchase intention, WTP",,,"consumers’ preference, consumer preference, customer preference, customers' preference, consumer's preference, customer's preference, customer choice, consumer choice, customers' choice, consumers' choice, customer's choice, consumer's choice, consumer decision, customer decision, consumers' decision, customers' decision, consumer's decision, customer's decision, preference of customer, preferences of customer, preference of consumer, preferences of consumer, choice of customer, choices of customer, choice of consumer, choices of consumer, decision of customer, decisions of customer, decision of consumer, decisions of consumer, consumer acceptance, consumer's acceptance, consumers' acceptance, acceptance of consumer, acceptance by consumer, purchases, purchased, consumer purchase intention, buyer intent, buyer's intent, buyers' intent, Preferences, purchase intention, WTP","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_086,Product,Consumers and consumption,"Perceptions, knowledge and trust","Product > Consumers and consumption > Perceptions, knowledge and trust","Consumer or public perceptions, knowledge, attitudes or trust.",Use when attitudes or perceptions are substantive.,Do not use marketing claims without response data.,"Perceptions, knowledge and trust, Risk perception, trust, knowledge",,,"consumer awareness, customer awareness, consumers' awareness, customers' awareness, consumer's awareness, customer's awareness, individual attitude, individuals' attitude, individual's attitude, consumer attitude, consumers' attitude, consumer's attitude, customer attitude, customers' attitude, customer's attitude, attitude of customer, attitudes of customer, attitude of consumer, attitudes of consumer, awareness of customer, awareness of consumer, awareness of individual, public confidence, consumer expectation, consumer's expectation, consumers' expectation, customer expectation, customer's expectation, customers' expectation, consumer perception, consumer's perception, consumers' perception, customer perception, customer's perception, customers' perception, Risk perception, trust, knowledge","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_087,Product,Consumers and consumption,"Labels, origin and certification","Product > Consumers and consumption > Labels, origin and certification","Consumer responses to labels, certification or product origin.",Use when label effects on consumers are substantive.,Certification systems themselves belong under Industry and governance.,"Labels, origin and certification, Ecolabels, country of origin, certification labels",,,"mislabel, mis-label, mis label, misidentif, mis identif, mis-identif, incorrectly label, incorrect label, species authentif, species substitut, species fraud, labelling fraud, label fraud, species recognition, species authentica, species verific, species valida, product authentic, mislabeling, adulterated, substitution of rainbow trout, substitution by rainbow trout, organic label, eco-label, ecolabel, welfare label, welfare certif, organic salmon, organically farmed, organic farm, Ecolabels, country of origin, certification labels","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_088,Production,Fish health,General fish health,Production > Fish health > General fish health,General fish health spanning multiple diseases or health issues.,Use when fish health is discussed broadly and no disease group dominates.,Prefer specific disease codes whenever appropriate.,"General fish health, Fish-health reviews, broad health management",,,"Fish-health reviews, broad health management","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_089,Production,Breeding and reproduction,Selective breeding and genetic improvement,Production > Breeding and reproduction > Selective breeding and genetic improvement,Improvement of cultured stocks through selection or breeding.,"Use for heritability, breeding values, selection response and breeding programmes.",Do not use for basic gene-expression studies without a breeding objective.,"Selective breeding and genetic improvement, Selective breeding, genomic selection, marker-assisted breeding",,,"recombinant, genetic modification, genetically modified, transgenic, GMO, AquaBounty, genetic engineer, genetically engineer, AquAdvantage, GM salmon, GM fish, gene technology, transgene, CRISPR, Cas9, Cas-9, selective breeding, genetic diversity, genetic variation, genetic differentiation, breeding strain, digital phenotyping, breeding program, breeding practic, diploid, triploid, genetic divergence, phenotypic divergence, genetic improvement, breeding goal, selective genotyp, genetic variability, genome-wide, genome wide, marker-assisted, market assisted, genomic selection, chromosomal aberrations, triploidisation, triploidization, pedigree, tetraploid, polyploid, inbreeding, outbreeding, gene expression, expression of genes, expression pattern, differential expression, mRNA, genom, Selective breeding, marker-assisted breeding","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_090,Production,Breeding and reproduction,Broodstock and reproductive performance,Production > Breeding and reproduction > Broodstock and reproductive performance,"Management or performance of broodstock, spawning, gametes and fertilisation.",Use when reproduction is studied as part of aquaculture production.,Do not use for wild reproduction or purely basic reproductive biology.,"Broodstock and reproductive performance, Broodstock nutrition, egg quality, sperm quality, fecundity",,,"reproduc, sperm, fertilisation, fertilization, fertilised, fertilized, spawn, sperm quality, egg quality, Broodstock nutrition, fecundity","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_091,Production,Breeding and reproduction,Maturation and sterility control,Production > Breeding and reproduction > Maturation and sterility control,Control of sexual maturation or production of sterile fish.,"Use for triploidy, delayed maturation or reproductive containment.",Do not use for ordinary growth differences unrelated to maturation.,"Maturation and sterility control, Triploidy, sterile salmon, puberty control",,,"sex-revers, sex revers, all-femal, all femal, female only, sex control, sex-control, masculinization, feminisation, feminization, Triploidy, sterile salmon, puberty control","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_092,Production,Early life and transfer,"Eggs, fry and parr production","Production > Early life and transfer > Eggs, fry and parr production",Production during incubation and early freshwater stages.,"Use when eggs, embryos, fry or parr production is a substantive focus.",Do not use merely because juveniles were used experimentally.,"Eggs, fry and parr production, Incubation, hatching, fry production, parr development",,,"Incubation, hatching, fry production, parr development","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_093,Production,Early life and transfer,Smoltification and smolt quality,Production > Early life and transfer > Smoltification and smolt quality,"Development, assessment or management of smoltification.",Use when smolt development or quality is a substantive objective.,Do not use for any juvenile study without smoltification focus.,"Smoltification and smolt quality, Photoperiod, osmoregulation, smolt quality",,,"Photoperiod, osmoregulation, smolt quality","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_094,Production,Early life and transfer,Seawater transfer and acclimation,Production > Early life and transfer > Seawater transfer and acclimation,"Timing, management or consequences of transfer to seawater.",Use when transfer or post-transfer acclimation is central.,Do not use merely because fish were maintained in seawater.,"Seawater transfer and acclimation, Transfer timing, acclimation, post-transfer performance",,,"Transfer timing, acclimation, post-transfer performance","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_095,Production,Feed and nutrition,Conventional feed ingredients,Production > Feed and nutrition > Conventional feed ingredients,Evaluation of established feed ingredients in salmon diets.,Use when conventional ingredients or their levels are experimentally evaluated.,Do not use upstream supply-chain studies.,"Conventional feed ingredients, Fishmeal, fish oil, established cereal ingredients",,,"fish oil, fish-oil, marine protein, fishmeal, shrimp meal, herring-based, fish meal, Fishmeal, established cereal ingredients","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
